set,s11a,s22a,s33a,s11m,s22m,s33m,t12a,t13a,t23a,t12m,t13m,t23m,fi11,fi22,fi33,fi12,fi13,fi23,Rm,Re,f-1,f0,b-1,b0,rb-1,t-1,t0
Native,211,0,0,300,0,0,365,0,0,0,0,0,0,0,0,0,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,630,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,0,0,0,300,0,0,395,0,0,0,0,0,0,0,0,0,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,222,0,0,300,0,0,385,0,0,0,0,0,0,0,0,90,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,682.3896458,0,0,0,0,0,128.24831,0,0,0,0,0,0,0,0,0,0,0,947,802,747.2922698,924.8841065,723.2591421,0,0,431.4493931,659.716235
Native,417.1470019,0,0,0,0,0,361.2618181,0,0,0,0,0,0,0,0,0,0,0,947,802,747.2922698,924.8841065,723.2591421,0,0,431.4493931,659.716235
Native,629.8148284,0,0,0,0,0,84.39518701,0,0,0,0,0,0,0,0,0,0,0,945,857,648.1409954,801.947442,635.297614,0,0,374.2043782,572.0866158
Native,620.2774764,0,0,0,0,0,116.6121656,0,0,0,0,0,0,0,0,0,0,0,945,857,648.1409954,801.947442,635.297614,0,0,374.2043782,572.0866158
Native,579.5461511,0,0,0,0,0,167.4888377,0,0,0,0,0,0,0,0,0,0,0,945,857,648.1409954,801.947442,635.297614,0,0,374.2043782,572.0866158
Native,489.0777588,0,0,0,0,0,244.5388794,0,0,0,0,0,0,0,0,0,0,0,945,857,648.1409954,801.947442,635.297614,0,0,374.2043782,572.0866158
Native,193.0410267,0,0,0,0,0,360.2145558,0,0,0,0,0,0,0,0,0,0,0,945,857,648.1409954,801.947442,635.297614,0,0,374.2043782,572.0866158
Native,256.894,0,0,0,0,0,74.1589,0,0,0,0,0,0,0,0,0,0,0,432.4,256.4,289.7721001,333.9422645,293.1,0,0,167.3,244.6387243
Native,223.475,0,0,0,0,0,111.737,0,0,0,0,0,0,0,0,0,0,0,432.4,256.4,289.7721001,333.9422645,293.1,0,0,167.3,244.6387243
Native,253.502,0,0,0,0,0,73.1797,0,0,0,0,0,0,0,0,0,0,0,432.4,256.4,258.4219805,297.8134242,286,0,0,149.2,218.1715342
Native,222.344,0,0,0,0,0,111.172,0,0,0,0,0,0,0,0,0,0,0,432.4,256.4,258.4219805,297.8134242,286,0,0,149.2,218.1715342
Native,241.921,0,0,0,0,0,140.314,0,0,0,0,0,0,0,0,0,0,0,635,425,318,400,0,0,0,225,411
Native,247.136,0,0,0,0,0,143.339,0,0,0,0,0,0,0,0,90,0,0,635,425,318,400,0,0,0,225,411
Native,146.091,0,0,146.091,0,0,84.7325,0,0,84.7325,0,0,0,0,0,0,0,0,635,425,318,400,0,0,0,225,411
Native,185.922,0,0,185.922,0,0,107.835,0,0,107.835,0,0,0,0,0,90,0,0,635,425,318,400,0,0,0,225,411
Native,0,0,0,0,0,0,205.253,0,0,205.253,0,0,0,0,0,0,0,0,635,425,318,400,0,0,0,225,411
Native,526.6052588,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,510.6417204,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,504.1013567,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,492.2132342,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,419.0386197,0,0,0,0,0,207.8431554,0,0,0,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,413.0160995,0,0,110.3,0,0,204.8559854,0,0,54.7088,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,403.8587334,0,0,220.6,0,0,200.3139317,0,0,109.4176,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,394.2741026,0,0,330.9,0,0,195.5599549,0,0,164.1264,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,397.4266478,0,0,441.3,0,0,197.1236173,0,0,218.8848,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,313.8801039,0,0,0,0,0,272.4479302,0,0,0,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,315.3208986,0,0,68.9,0,0,273.69854,0,0,59.8052,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,315.6421321,0,0,137.9,0,0,273.9773707,0,0,119.6972,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,310.900945,0,0,206.8,0,0,269.8620202,0,0,179.5024,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,307.2409159,0,0,275.8,0,0,266.685115,0,0,239.3944,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,180.9690653,0,0,0,0,0,322.6678435,0,0,0,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,182.3403344,0,0,30.95905777,0,0,325.1128162,0,0,55.2,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,187.8925794,0,0,61.86203029,0,0,335.0124691,0,0,110.3,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,189.0792647,0,0,92.82108805,0,0,337.128329,0,0,165.5,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,182.7439988,0,0,123.7240606,0,0,325.8325498,0,0,220.6,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,0,0,0,0,0,0,364.637543,0,0,68.9,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,0,0,0,0,0,0,351.3038018,0,0,137.9,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,0,0,0,0,0,0,344.9822432,0,0,206.8,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
